Year,Units,Value
2014,Tonne per capita,0.1107
2015,Tonne per capita,0.1651
2016,Tonne per capita,0.1427
2017,Tonne per capita,0.2373
2018,Tonne per capita,0.2186
2019,Tonne per capita,0.3237
