Year,Value
1991,2.5
1992,4.3
1993,5.3
1994,5.3
1995,4.9
1996,3.7
1997,3.9
1998,2.7
1999,2.0
2000,2.3
2001,2.3
2002,3.3
2003,3.3
2004,3.1
2005,2.6
2006,2.9
2007,2.3
2008,3.0
2009,7.2
2010,7.6
2011,7.1
2012,6.0
2013,5.4
2014,5.0
2015,4.0
2016,3.0
2017,2.8
2018,2.7
2019,3.9
2020,6.4
