Year,Value
1996,0.74
1997,0.37
1998,0.73
1999,1.08
2000,0.71
2001,0.35
2002,0.35
2003,0.69
2004,1.03
2005,0.68
2006,0.99
2007,0.96
2008,2.51
2009,0.63
2010,0.31
2011,1.88
2012,1.87
2013,1.85
2014,2.44
2015,2.42
2016,2.38
2017,2.62
2018,0.85
2019,0.0
