Year,Value
1981,10
1982,10
1983,8
1984,11
1985,10
1986,10
1987,10
1988,12
1989,11
1990,9
1991,11
1992,8
1993,6
1994,5
1995,9
1996,4
1997,6
1998,10
1999,8
2000,11
2001,8
2002,10
2003,8
2004,8
2005,6
2006,9
2007,5
2008,4
2009,5
2010,3
2011,4
2012,3
2013,5
2014,1
2015,5
2016,5
2017,4
2018,5
2019,2
2020,2
