Year,Value
2000,22.8
2001,19.7
2002,18.2
2003,16.4
2004,13
2005,15.1
2006,14.4
2007,14.2
2008,14.6
2009,14.3
2010,12.9
2011,10.8
2012,11
2013,7.1
2014,7.5
2015,7.9
2016,6.5
2017,5.9
2018,5.3
