Year,Gender,Age,Value
2004,,,10.0
2005,,,9.7
2006,,,9.6
2007,,,10.1
2008,,,10.0
2009,,,10.2
2010,,,9.8
2011,,,9.2
2012,,,7.9
2013,,,9.3
2014,,,7.9
2015,,,9.2
2016,,,8.8
2017,,,10.3
2018,,,9.0
2004,Male,,9.6
2005,Male,,9.8
2006,Male,,9.1
2007,Male,,9.1
2008,Male,,9.3
2009,Male,,9.3
2010,Male,,9.8
2011,Male,,9.0
2012,Male,,8.4
2013,Male,,9.6
2014,Male,,8.1
2015,Male,,9.3
2016,Male,,8.5
2017,Male,,10.0
2018,Male,,9.1
2004,Female,,10.5
2005,Female,,9.6
2006,Female,,10.2
2007,Female,,11.0
2008,Female,,10.6
2009,Female,,11.1
2010,Female,,9.8
2011,Female,,9.5
2012,Female,,7.5
2013,Female,,8.9
2014,Female,,7.7
2015,Female,,9.1
2016,Female,,9.1
2017,Female,,10.7
2018,Female,,8.9
2004,,0-15,11.8
2005,,0-15,10.3
2006,,0-15,12.1
2007,,0-15,12.5
2008,,0-15,11.8
2009,,0-15,10.1
2010,,0-15,12.9
2011,,0-15,11.6
2012,,0-15,10.6
2013,,0-15,12.6
2014,,0-15,10.2
2015,,0-15,11.7
2016,,0-15,11.0
2017,,0-15,12.1
2018,,0-15,11.1
2004,Male,0-15,11.9
2005,Male,0-15,10.9
2006,Male,0-15,12.2
2007,Male,0-15,11.7
2008,Male,0-15,11.1
2009,Male,0-15,9.6
2010,Male,0-15,12.7
2011,Male,0-15,10.7
2012,Male,0-15,10.1
2013,Male,0-15,13.2
2014,Male,0-15,10.2
2015,Male,0-15,11.7
2016,Male,0-15,11.1
2017,Male,0-15,11.0
2018,Male,0-15,11.0
2004,Female,0-15,11.6
2005,Female,0-15,9.6
2006,Female,0-15,12.1
2007,Female,0-15,13.4
2008,Female,0-15,12.5
2009,Female,0-15,10.6
2010,Female,0-15,13.2
2011,Female,0-15,12.6
2012,Female,0-15,11.2
2013,Female,0-15,12.1
2014,Female,0-15,10.2
2015,Female,0-15,11.6
2016,Female,0-15,10.9
2017,Female,0-15,13.4
2018,Female,0-15,11.4
2004,,16-24,14.7
2005,,16-24,14.9
2006,,16-24,11.4
2007,,16-24,10.6
2008,,16-24,11.1
2009,,16-24,14.2
2010,,16-24,14.8
2011,,16-24,12.8
2012,,16-24,9.6
2013,,16-24,13.7
2014,,16-24,9.0
2015,,16-24,12.2
2016,,16-24,11.1
2017,,16-24,13.1
2018,,16-24,10.1
2004,Male,16-24,17.1
2005,Male,16-24,15.7
2006,Male,16-24,14.5
2007,Male,16-24,13.6
2008,Male,16-24,11.5
2009,Male,16-24,18.3
2010,Male,16-24,17.3
2011,Male,16-24,13.6
2012,Male,16-24,10.5
2013,Male,16-24,15.8
2014,Male,16-24,9.6
2015,Male,16-24,12.3
2016,Male,16-24,11.5
2017,Male,16-24,13.7
2018,Male,16-24,12.5
2004,Female,16-24,17.1
2005,Female,16-24,15.7
2006,Female,16-24,14.5
2007,Female,16-24,13.6
2008,Female,16-24,11.5
2009,Female,16-24,18.3
2010,Female,16-24,17.3
2011,Female,16-24,13.6
2012,Female,16-24,10.5
2013,Female,16-24,15.8
2014,Female,16-24,9.6
2015,Female,16-24,12.3
2016,Female,16-24,11.5
2017,Female,16-24,13.7
2018,Female,16-24,12.5
2004,,25-34,10.8
2005,,25-34,11.5
2006,,25-34,10.5
2007,,25-34,11.4
2008,,25-34,11.2
2009,,25-34,12.4
2010,,25-34,13.3
2011,,25-34,14.6
2012,,25-34,11.8
2013,,25-34,13.5
2014,,25-34,9.2
2015,,25-34,14.9
2016,,25-34,13.6
2017,,25-34,16.5
2018,,25-34,12.5
2004,Male,25-34,10.1
2005,Male,25-34,10.8
2006,Male,25-34,8.7
2007,Male,25-34,10.9
2008,Male,25-34,11.3
2009,Male,25-34,12.5
2010,Male,25-34,13.3
2011,Male,25-34,12.7
2012,Male,25-34,13.2
2013,Male,25-34,12.7
2014,Male,25-34,7.8
2015,Male,25-34,12.8
2016,Male,25-34,11.7
2017,Male,25-34,16.9
2018,Male,25-34,12.3
2004,Female,25-34,11.5
2005,Female,25-34,12.2
2006,Female,25-34,12.4
2007,Female,25-34,11.9
2008,Female,25-34,11.1
2009,Female,25-34,12.3
2010,Female,25-34,13.3
2011,Female,25-34,16.5
2012,Female,25-34,10.3
2013,Female,25-34,14.3
2014,Female,25-34,10.6
2015,Female,25-34,17.1
2016,Female,25-34,15.5
2017,Female,25-34,16.1
2018,Female,25-34,12.7
2004,,35-44,9.1
2005,,35-44,8.4
2006,,35-44,9.5
2007,,35-44,7.8
2008,,35-44,7.5
2009,,35-44,8.6
2010,,35-44,7.8
2011,,35-44,6.9
2012,,35-44,7.8
2013,,35-44,9.0
2014,,35-44,7.9
2015,,35-44,7.4
2016,,35-44,7.6
2017,,35-44,9.2
2018,,35-44,9.8
2004,Male,35-44,9.2
2005,Male,35-44,7.8
2006,Male,35-44,10.4
2007,Male,35-44,8.2
2008,Male,35-44,7.9
2009,Male,35-44,8.5
2010,Male,35-44,9.0
2011,Male,35-44,6.6
2012,Male,35-44,8.1
2013,Male,35-44,9.5
2014,Male,35-44,9.0
2015,Male,35-44,8.3
2016,Male,35-44,9.2
2017,Male,35-44,10.4
2018,Male,35-44,9.5
2004,Female,35-44,9.0
2005,Female,35-44,9.0
2006,Female,35-44,8.5
2007,Female,35-44,7.3
2008,Female,35-44,7.0
2009,Female,35-44,8.7
2010,Female,35-44,6.6
2011,Female,35-44,7.3
2012,Female,35-44,7.4
2013,Female,35-44,8.5
2014,Female,35-44,6.7
2015,Female,35-44,6.5
2016,Female,35-44,6.1
2017,Female,35-44,8.0
2018,Female,35-44,10.0
2004,,45-54,5.8
2005,,45-54,6.6
2006,,45-54,5.3
2007,,45-54,6.0
2008,,45-54,6.1
2009,,45-54,6.5
2010,,45-54,7.8
2011,,45-54,6.7
2012,,45-54,5.1
2013,,45-54,5.0
2014,,45-54,6.3
2015,,45-54,5.0
2016,,45-54,5.5
2017,,45-54,6.1
2018,,45-54,6.3
2004,Male,45-54,6.4
2005,Male,45-54,8.3
2006,Male,45-54,6.6
2007,Male,45-54,6.4
2008,Male,45-54,6.3
2009,Male,45-54,8.6
2010,Male,45-54,10.2
2011,Male,45-54,8.6
2012,Male,45-54,6.9
2013,Male,45-54,7.1
2014,Male,45-54,8.3
2015,Male,45-54,6.7
2016,Male,45-54,5.8
2017,Male,45-54,4.9
2018,Male,45-54,6.0
2004,Female,45-54,5.3
2005,Female,45-54,4.9
2006,Female,45-54,4.0
2007,Female,45-54,5.6
2008,Female,45-54,6.0
2009,Female,45-54,4.4
2010,Female,45-54,5.4
2011,Female,45-54,4.8
2012,Female,45-54,3.2
2013,Female,45-54,2.9
2014,Female,45-54,4.4
2015,Female,45-54,3.4
2016,Female,45-54,5.1
2017,Female,45-54,7.2
2018,Female,45-54,6.6
2004,,55-64,5.0
2005,,55-64,5.4
2006,,55-64,3.7
2007,,55-64,4.8
2008,,55-64,5.8
2009,,55-64,6.3
2010,,55-64,3.3
2011,,55-64,4.9
2012,,55-64,3.6
2013,,55-64,4.1
2014,,55-64,3.5
2015,,55-64,5.3
2016,,55-64,4.6
2017,,55-64,5.3
2018,,55-64,7.3
2004,Male,55-64,4.7
2005,Male,55-64,6.1
2006,Male,55-64,3.2
2007,Male,55-64,5.4
2008,Male,55-64,6.7
2009,Male,55-64,7.7
2010,Male,55-64,3.9
2011,Male,55-64,6.8
2012,Male,55-64,5.0
2013,Male,55-64,5.5
2014,Male,55-64,4.2
2015,Male,55-64,6.6
2016,Male,55-64,4.7
2017,Male,55-64,5.2
2018,Male,55-64,9.4
2004,Female,55-64,5.3
2005,Female,55-64,4.7
2006,Female,55-64,4.2
2007,Female,55-64,4.3
2008,Female,55-64,5.0
2009,Female,55-64,4.9
2010,Female,55-64,2.6
2011,Female,55-64,3.0
2012,Female,55-64,2.2
2013,Female,55-64,2.7
2014,Female,55-64,2.7
2015,Female,55-64,4.0
2016,Female,55-64,4.5
2017,Female,55-64,5.4
2018,Female,55-64,5.1
2004,,64+,10.3
2005,,64+,9.2
2006,,64+,11.8
2007,,64+,15.1
2008,,64+,15.0
2009,,64+,12.4
2010,,64+,4.9
2011,,64+,4.3
2012,,64+,4.5
2013,,64+,4.0
2014,,64+,6.9
2015,,64+,5.8
2016,,64+,6.1
2017,,64+,8.1
2018,,64+,4.8
2004,Male,64+,8.8
2005,Male,64+,8.6
2006,Male,64+,10.0
2007,Male,64+,11.0
2008,Male,64+,9.5
2009,Male,64+,6.1
2010,Male,64+,3.0
2011,Male,64+,3.0
2012,Male,64+,4.6
2013,Male,64+,3.9
2014,Male,64+,6.3
2015,Male,64+,4.5
2016,Male,64+,3.7
2017,Male,64+,6.6
2018,Male,64+,5.8
2004,Female,64+,11.7
2005,Female,64+,9.8
2006,Female,64+,13.5
2007,Female,64+,18.8
2008,Female,64+,19.7
2009,Female,64+,17.9
2010,Female,64+,6.6
2011,Female,64+,5.5
2012,Female,64+,4.5
2013,Female,64+,4.0
2014,Female,64+,7.4
2015,Female,64+,7.1
2016,Female,64+,8.3
2017,Female,64+,9.6
2018,Female,64+,3.9
