Year,Education Category,Age,Sex,Value
2017,Non-Formal,25-64,Male,13.72638011
2018,Non-Formal,25-64,Male,10.69372949
2003,Non-Formal,25-64,Female,16.759931299999998
2004,Non-Formal,25-64,Female,17.90473587
2005,Non-Formal,25-64,Female,18.69787463
2006,Non-Formal,25-64,Female,21.16666448
2007,Non-Formal,25-64,Female,19.67592593
2008,Non-Formal,25-64,Female,17.54825771
2009,Non-Formal,25-64,Female,17.07721605
2010,Non-Formal,25-64,Female,17.53439439
2011,Non-Formal,25-64,Female,18.45040994
2012,Non-Formal,25-64,Female,19.96907229
2013,Non-Formal,25-64,Female,19.10104209
2014,Non-Formal,25-64,Female,19.72811076
2015,Non-Formal,25-64,Female,21.06035329
2016,Non-Formal,25-64,Female,18.132048100000002
2017,Non-Formal,25-64,Female,17.4312562
2018,Non-Formal,25-64,Female,15.27557817
