Year,Value
1997,7.78
1998,5.51
1999,16.32
2000,17.56
2001,21.53
2002,13.61
2003,7.97
2004,13.42
2005,11.24
2006,5.34
2007,15.6
2008,19.34
2009,7.2
2010,8.19
2011,6.59
2012,6.26
2013,4.97
2014,8.9
2015,5.17
2016,17.74
2017,20.1
2018,12.91
2019,13.45
