Year,Value
1951,12.8
1952,11.0
1953,12.7
1954,11.0
1955,12.7
1956,10.9
1957,9.7
1958,13.6
1959,8.9
1960,9.2
1961,14.7
1962,10.8
1963,11.2
1964,12.5
1965,10.6
1966,9.8
1967,10.0
1968,12.3
1969,8.3
1970,10.2
1971,9.8
1972,9.6
1973,7.8
1974,10.1
1975,8.9
1976,4.4
1977,7.0
1978,6.2
1979,4.7
1980,6.0
1981,3.7
1982,4.6
1983,5.3
1984,3.6
1985,3.6
1986,3.9
1987,5.0
1988,4.1
1989,3.3
1990,4.0
1991,2.9
1992,3.7
1993,2.8
1994,1.1
1995,4.4
1996,3.0
1997,3.1
1998,2.2
1999,1.5
2000,2.5
2001,2.0
2002,1.2
2003,1.9
2004,1.4
2005,1.6
2006,0.9
2007,1.3
2008,1.7
2009,1.0
2010,1.2
2011,0.7
2012,0.7
2013,1.4
2014,1.6
2015,1.4
2016,0.5
2017,2.2
2018,1.2
2019,0.7
