Year,Age,Gender,Nationality,Value
2005,5 years and younger,,,0.253712871
2006,5 years and younger,,,0.200235571
2007,5 years and younger,,,0.230985915
2008,5 years and younger,,,0.206588498
2009,5 years and younger,,,0.202380952
2010,5 years and younger,,,0.27479092
2011,5 years and younger,,,0.27479092
2012,5 years and younger,,,0.295683028
2013,5 years and younger,,,0.268571429
2014,5 years and younger,,,0.275590551
2015,5 years and younger,,,0.212302667
2016,5 years and younger,,,0.19412382
2017,5 years and younger,,,0.190721649
2005,5 years and younger,Male,,0.10519802
2006,5 years and younger,Male,,0.08833922300000001
2007,5 years and younger,Male,,0.123943662
2008,5 years and younger,Male,,0.106085985
2009,5 years and younger,Male,,0.05952381
2010,5 years and younger,Male,,0.12544802900000002
2011,5 years and younger,Male,,0.131421744
2012,5 years and younger,Male,,0.147841514
2013,5 years and younger,Male,,0.131428571
2014,5 years and younger,Male,,0.146231721
2015,5 years and younger,Male,,0.08709853
2016,5 years and younger,Male,,0.089192025
2017,5 years and younger,Male,,0.082474227
2005,5 years and younger,Female,,0.148514851
2006,5 years and younger,Female,,0.111896349
2007,5 years and younger,Female,,0.107042254
2008,5 years and younger,Female,,0.100502513
2009,5 years and younger,Female,,0.14285714300000002
2010,5 years and younger,Female,,0.149342891
2011,5 years and younger,Female,,0.143369176
2012,5 years and younger,Female,,0.147841514
2013,5 years and younger,Female,,0.13714285699999998
2014,5 years and younger,Female,,0.12935883
2015,5 years and younger,Female,,0.125204137
2016,5 years and younger,Female,,0.10493179400000001
2017,5 years and younger,Female,,0.10824742300000001
2005,6 - 12 years,,,6.522277227999999
2006,6 - 12 years,,,6.2367491170000005
2007,6 - 12 years,,,5.729577465
2008,6 - 12 years,,,5.002791736
2009,6 - 12 years,,,4.2976190480000005
2010,6 - 12 years,,,3.76344086
2011,6 - 12 years,,,3.590203106
2012,6 - 12 years,,,3.6250739210000003
2013,6 - 12 years,,,3.4057142860000003
2014,6 - 12 years,,,3.318335208
2015,6 - 12 years,,,3.1028851389999996
2016,6 - 12 years,,,3.32633788
2017,6 - 12 years,,,3.3659793810000003
2005,6 - 12 years,Male,,3.372524752
2006,6 - 12 years,Male,,3.345111896
2007,6 - 12 years,Male,,3.030985915
2008,6 - 12 years,Male,,2.551647125
2009,6 - 12 years,Male,,2.214285714
2010,6 - 12 years,Male,,1.9115890080000002
2011,6 - 12 years,Male,,1.732377539
2012,6 - 12 years,Male,,1.862803075
2013,6 - 12 years,Male,,1.805714286
2014,6 - 12 years,Male,,1.7435320580000002
2015,6 - 12 years,Male,,1.6330974409999999
2016,6 - 12 years,Male,,1.757607555
2017,6 - 12 years,Male,,1.881443299
2005,6 - 12 years,Female,,3.149752475
2006,6 - 12 years,Female,,2.89163722
2007,6 - 12 years,Female,,2.6985915489999996
2008,6 - 12 years,Female,,2.451144612
2009,6 - 12 years,Female,,2.083333333
2010,6 - 12 years,Female,,1.8518518519999998
2011,6 - 12 years,Female,,1.8578255680000002
2012,6 - 12 years,Female,,1.7622708459999998
2013,6 - 12 years,Female,,1.6
2014,6 - 12 years,Female,,1.57480315
2015,6 - 12 years,Female,,1.469787697
2016,6 - 12 years,Female,,1.568730325
2017,6 - 12 years,Female,,1.484536082
2005,13 - 18 years,,,136.23762380000002
2006,13 - 18 years,,,132.5971731
2007,13 - 18 years,,,128.16901409999997
2008,13 - 18 years,,,126.05248459999999
2009,13 - 18 years,,,125.55357140000001
2010,13 - 18 years,,,123.1541219
2011,13 - 18 years,,,114.4922342
2012,13 - 18 years,,,111.0348906
2013,13 - 18 years,,,106.8457143
2014,13 - 18 years,,,106.1023622
2015,13 - 18 years,,,101.7855199
2016,13 - 18 years,,,99.09233998
2017,13 - 18 years,,,98.5257732
2005,13 - 18 years,Male,,70.16707921
2006,13 - 18 years,Male,,68.00942285
2007,13 - 18 years,Male,,65.37464789
2008,13 - 18 years,Male,,64.40536013
2009,13 - 18 years,Male,,63.80357143
2010,13 - 18 years,Male,,62.60454002
2011,13 - 18 years,Male,,58.33333333
2012,13 - 18 years,Male,,56.8066233
2013,13 - 18 years,Male,,54.07428571
2014,13 - 18 years,Male,,53.58830146
2015,13 - 18 years,Male,,51.31736527
2016,13 - 18 years,Male,,50.0996852
2017,13 - 18 years,Male,,49.57216495
2005,13 - 18 years,Female,,66.07054455
2006,13 - 18 years,Female,,64.58775029
2007,13 - 18 years,Female,,62.7943662
2008,13 - 18 years,Female,,61.64712451
2009,13 - 18 years,Female,,61.75
2010,13 - 18 years,Female,,60.54958184
2011,13 - 18 years,Female,,56.15890084
2012,13 - 18 years,Female,,54.22826729999999
2013,13 - 18 years,Female,,52.77142857
2014,13 - 18 years,Female,,52.51406074
2015,13 - 18 years,Female,,50.468154600000005
2016,13 - 18 years,Female,,48.99265477
2017,13 - 18 years,Female,,48.95360825
