Year,Value
2003,7.1
2004,7.8
2005,15.1
2006,15.1
2007,10.4
2008,10
2009,16.9
2010,7.9
2011,8.1
2012,17.1
2013,8.6
2014,5.8
2015,15.7
2016,13.5
2017,17.6
2018,17.7
2019,20.1
