Year,Value
2001,0.4897
2002,0.4635
2003,0.5291
2004,0.5835
2005,0.6387
2006,0.5888
2007,0.6378
2008,0.4243
2009,0.4053
2010,0.3584
2011,0.3621
2012,0.3715
2013,0.3725
2014,0.3769
2015,0.368
2016,0.3747
2017,0.485
2018,0.4452
2019,0.3994
