Year,Value
2001,0.628658103
2002,0.605942664
2003,0.700889093
2004,0.769692413
2005,0.820962752
2006,0.792588461
2007,0.829894318
2008,0.515927917
2009,0.523787317
2010,0.451847994
2011,0.465998097
2012,0.486652369
2013,0.49227752
2014,0.512328719
2015,0.496803882
2016,0.483073089
