Year,Group, Value
2010,PM2.5,15.69571139
2010,PM10,17.95642801
2011,PM2.5,7.928147614
2011,PM10,14.39522435
2012,PM2.5,8.33789592
2012,PM10,11.62165175
2013,PM2.5,9.641082367
2013,PM10,13.96943627
2014,PM2.5,9.755118731
2014,PM10,13.78943823
2015,PM2.5,7.07512193
2015,PM10,12.87464849
2016,PM2.5,8.76227006
2016,PM10,11.84565157
2017,PM2.5,8.101734978
2017,PM10,14.83476719
2018,PM2.5,6.074876943
2018,PM10,13.55822009
