Year,Sex,Value
2013,Male,54.9
2014,Male,58.2
2015,Male,54.9
2016,Male,62.7
2017,Male,64.5
2018,Male,61.1
2013,Female,29.0
2014,Female,33.2
2015,Female,36.9
2016,Female,37.3
2017,Female,35.9
2018,Female,38.3
