Year,Value
1990,12.8
1991,11.7
1992,11.8
1993,12.6
1994,12.3
1995,12.3
1996,12.6
1997,11.8
1998,11.8
1999,12.7
2000,13.6
2001,12.7
2002,13.0
2003,12.7
2004,11.6
2005,11.1
2006,13.1
2007,14.2
2008,15.8
2009,17.6
2010,18.4
2011,19.3
2012,18.6
2013,18.5
2014,18.1
2015,16.6
