Year,Value
1990,0.35
1991,-1.44
1992,-4.54
1993,0.28
1994,2.74
1995,-0.02
1996,3.98
1997,4.99
1998,6.23
1999,2.76
2000,3.50
2001,2.59
2002,-0.32
2003,1.54
2004,6.59
2005,4.94
2006,3.36
2007,6.0
2008,-0.34
2009,-7.64
2010,-2.45
2011,1.53
2012,0.52
2013,3.57
2014,0.56
2015,3.36
2016,4.83
2017,1.78
2018,1.95
2019,0.34
2020,-8.16

