Year,Value
1997,3.71
1998,6.24
1999,4.35
2000,4.66
2001,4.59
2002,2.79
2003,1.73
2004,4.47
2005,3.75
2006,4.33
2007,4.55
2008,1.90
2009,2.82
2010,6.61
2011,2.83
2012,3.44
2013,3.73
2014,2.76
2015,2.43
2016,1.80
2017,4.14
2018,2.30
2019,3.64

