Year,Value
1990,66.81
1991,68.08
1992,66.38
1993,67.14
1994,67.09
1995,67.08
1996,66.88
1997,66.98
1998,68.55
1999,71.88
2000,72.35
2001,74.49
2002,74.22
2003,74.71
2004,73.18
2005,74.33
2006,77.77
2007,80.22
2008,83.72
2009,85.53
2010,85.76
2011,85.93
2012,87.03
2013,86.28
2014,86.34
2015,84.61
2016,82.7
2017,81.89
2018,82.38
2019,84.07
2020,90.02
